NUM,STATION,NAME,X[m],sig_X[m],Y[m],sig_Y[m],Z[m],sig_Z[m],START,END,ID-SNX
1,AACR,40612M001,644009.04617,0.00116,-6251064.27607,0.00377,1093780.90362,0.00114,2010-08-01,2012-09-04,A1
2,AACR,40612M001,644009.00856,0.001,-6251064.27335,0.0032,1093780.88986,0.00097,2012-09-06,2017-11-12,A2
3,AACR,40612M001,644008.98473,0.00094,-6251064.27087,0.00277,1093780.85962,0.00092,2017-11-14,2022-04-30,A3
4,ABCC,41939M001,1739438.02099,0.00065,-6117252.52537,0.0015,515065.03009,0.00041,2011-08-29,2016-06-25,A1
5,ABCC,41939M001,1739438.0143,0.00062,-6117252.50219,0.00142,515065.0323,0.00037,2016-06-26,2022-04-30,A2
6,ABEC,42040M001,1257908.31841,0.00201,-6254107.75943,0.00567,-140325.23525,0.0014,2016-04-17,2022-04-30,A1
7,ABMF,97103M001,2919785.74431,0.00075,-5383744.99833,0.00087,1774604.78555,0.00071,2009-12-25,2012-01-24,A1
8,ABMF,97103M001,2919785.74915,0.00031,-5383745.00221,0.00052,1774604.78742,0.00023,2012-01-25,2022-04-30,A2
9,ABPD,41941M001,1742983.24592,0.00029,-6118331.5012,0.00064,494730.67959,0.00018,2011-08-29,2022-04-19,A1
10,ABPW,41940M001,1753507.20893,0.00053,-6113239.04674,0.00109,518210.54545,0.00027,2011-08-29,2022-04-30,A1
11,ABRA,41575M001,2423793.33613,0.00105,-5367435.0182,0.00196,-2449718.3645,0.00089,2014-04-06,2019-03-31,A1
12,ABRA,41575M001,2423793.34517,0.00183,-5367435.03143,0.0027,-2449718.36944,0.00177,2019-05-28,2020-01-29,A2
13,ADIS,31502M001,4913652.66503,0.00044,3945922.755,0.00039,995383.42537,0.00018,2007-07-24,2021-03-03,A1
14,AGCA,41907M001,1782547.0634,0.00025,-6054787.93827,0.00059,916299.499,0.00018,2012-05-23,2022-01-26,A1
15,AGGO,41596M001,2765120.87169,0.00084,-4449248.3663,0.00114,-3626403.73674,0.00094,2017-01-31,2022-04-30,A1
16,ALAR,41653M001,5043729.6942,0.00028,-3753105.60254,0.00023,-1072966.87297,0.00012,2008-04-03,2022-04-30,A1
17,ALBE,41943M001,1806734.97557,0.00029,-6056493.1843,0.0007,855562.50192,0.0002,2012-10-29,2022-04-30,A1
18,ALBH,40129M003,-2341333.06286,0.00014,-3539049.52598,0.00018,4745791.28014,0.0002,2000-01-02,2003-09-05,A1
19,ALBH,40129M003,-2341333.05471,0.00015,-3539049.52122,0.00021,4745791.27152,0.00024,2003-09-06,2015-09-15,A2
20,ALBH,40129M003,-2341333.0579,0.0004,-3539049.52771,0.00057,4745791.28103,0.00065,2015-09-16,2022-04-30,A3
21,ALEC,42029M001,1233231.87209,0.00097,-6255435.58234,0.0036,-243534.52492,0.00076,2012-12-09,2016-04-15,A1
22,ALEC,42029M001,1233231.86388,0.00678,-6255435.59924,0.02441,-243534.3866,0.00513,2016-04-17,2019-05-25,A2
