NUM,STATION,NAME,VX[m/a],sig_VX[m/a],VY[m/a],sig_Y[m],VZ[m/a],sig_VZ[m/a],START,END,ID-SNX
1,AACR,40612M001,0.01292,0.0007,0.00314,0.00226,0.01701,0.00068,2010-08-01,2012-09-04,A1
2,AACR,40612M001,0.01083,0.00043,0.00567,0.00136,0.01655,0.00041,2012-09-06,2017-11-12,A2
3,AACR,40612M001,0.0129,0.00031,0.00413,0.00092,0.01864,0.00031,2017-11-14,2022-04-30,A3
4,ABCC,41939M001,-0.009,0.00032,0.02535,0.00073,0.01411,0.0002,2011-08-29,2016-06-25,A1
5,ABCC,41939M001,-0.00571,0.00022,0.01308,0.0005,0.01514,0.00013,2016-06-26,2022-04-30,A2
6,ABEC,42040M001,0.00076,0.00065,0.00371,0.00183,0.0106,0.00045,2016-04-17,2022-04-30,A1
7,ABMF,97103M001,0.00717,0.00047,0.00886,0.00052,0.01494,0.00045,2009-12-25,2012-01-24,A1
8,ABMF,97103M001,0.00717,0.00012,0.00886,0.0002,0.01494,8e-05,2012-01-25,2022-04-30,A2
9,ABPD,41941M001,-0.00052,0.00011,0.00149,0.00025,0.01478,7e-05,2011-08-29,2022-04-19,A1
10,ABPW,41940M001,-0.00083,0.00022,0.00293,0.00044,0.01494,0.00011,2011-08-29,2022-04-30,A1
11,ABRA,41575M001,0.01058,0.00044,-0.00102,0.00081,0.01217,0.00037,2014-04-06,2019-03-31,A1
12,ABRA,41575M001,0.01058,0.00065,-0.00102,0.00095,0.01217,0.00063,2019-05-28,2020-01-29,A2
13,ADIS,31502M001,-0.01954,0.00022,0.01671,0.00019,0.01857,8e-05,2007-07-24,2021-03-03,A1
14,AGCA,41907M001,0.0056,9e-05,0.00442,0.00022,0.01481,7e-05,2012-05-23,2022-01-26,A1
15,AGGO,41596M001,0.00105,0.00029,-0.00753,0.00039,0.00919,0.00032,2017-01-31,2022-04-30,A1
16,ALAR,41653M001,-0.001,0.00011,-0.00448,9e-05,0.01269,5e-05,2008-04-03,2022-04-30,A1
17,ALBE,41943M001,0.00379,0.0001,0.00411,0.00024,0.01483,7e-05,2012-10-29,2022-04-30,A1
18,ALBH,40129M003,-0.00989,0.00029,-0.0007,0.00038,-0.00472,0.00042,2000-01-02,2003-09-05,A1
19,ALBH,40129M003,-0.00989,9e-05,-0.0007,0.00013,-0.00472,0.00015,2003-09-06,2015-09-15,A2
20,ALBH,40129M003,-0.00989,0.00014,-0.0007,0.00021,-0.00472,0.00023,2015-09-16,2022-04-30,A3
21,ALEC,42029M001,0.00451,0.00047,-0.00037,0.00173,0.00917,0.00037,2012-12-09,2016-04-15,A1
22,ALEC,42029M001,0.00023,0.00244,-0.00059,0.00879,0.0085,0.00185,2016-04-17,2019-05-25,A2
23,ALEC,42029M001,0.00023,0.00073,-0.00059,0.00251,0.00851,0.00054,2019-05-26,2022-04-30,A3
24,ALGO,40104M002,-0.01605,7e-05,-0.00338,0.00016,0.00426,0.00014,2000-01-02,2012-12-20,A1
25,ALGO,40104M002,-0.01606,8e-05,-0.00338,0.00018,0.00426,0.00016,2012-12-21,2022-04-30,A2
26,ALMA,48052M001,-0.00136,0.00037,-0.00465,0.00028,0.01283,0.00012,2017-02-24,2022-04-30,A1
27,ALUM,41535M001,0.00081,0.0002,-0.00221,0.00036,0.00777,0.00023,2008-10-17,2015-09-15,A1
28,ALUM,41535M001,0.00271,0.00054,-0.00479,0.00104,0.00912,0.00066,2019-03-10,2022-04-30,A2
29,AM04,42255M001,-0.00549,0.00087,-0.0021,0.002,0.00774,0.00068,2018-07-23,2019-05-25,A1
30,AM04,42255M001,-0.00549,0.00073,-0.0021,0.00194,0.00774,0.00046,2019-05-27,2021-11-27,A2
31,AM04,42255M001,-0.00549,0.00089,-0.0021,0.00201,0.00774,0.00069,2021-11-29,2022-04-30,A3
32,AMBC,48061M001,-0.00303,0.00066,-0.00109,0.00117,0.01197,0.00031,2016-02-18,2019-04-01,A1
33,AMCO,41696M001,-0.00225,0.00014,-0.0016,0.00024,0.01228,7e-05,2012-09-12,2022-04-30,A1
34,AMCR,48073M002,-0.00334,0.00041,-0.00207,0.00072,0.01232,0.0002,2018-06-12,2022-04-30,A1
35,AMHA,41646M002,-0.00218,0.00019,-0.00316,0.00033,0.0118,0.0001,2015-01-01,2022-04-30,A1
36,AMPR,48071M001,-0.00294,0.00089,-0.00109,0.00131,0.01238,0.00035,2015-01-01,2018-11-19,A1
37,AMTE,48091M001,-0.00287,0.00049,-0.00253,0.00082,0.01236,0.00023,2013-10-22,2018-07-25,A1
38,AMTE,48091M001,-0.00287,0.00047,-0.00253,0.00082,0.01236,0.00024,2018-07-26,2022-04-30,A2
39,AMUA,48070M001,-0.00325,0.00019,-0.00206,0.0003,0.01275,9e-05,2015-02-20,2022-04-30,A1
40,AN02,42231M001,0.00354,0.00053,-0.002,0.00181,0.00919,0.00042,2016-02-28,2019-05-25,A1
41,AN02,42231M001,0.00054,0.00064,0.00395,0.00187,0.00775,0.00043,2019-05-27,2022-04-29,A2
42,ANDS,41908S001,0.01255,0.00054,0.00495,0.00096,0.00766,0.00053,2007-05-08,2008-08-06,A1
43,ANDS,41908S001,0.01256,0.00026,0.00495,0.00082,0.00766,0.00025,2014-02-28,2020-08-01,A2
44,ANGO,41720M001,0.00665,0.00103,-0.01513,0.00225,0.00759,0.00177,2012-03-26,2020-01-15,A1
45,ANTC,41713S001,0.01702,0.00012,-0.00103,0.00025,0.00826,0.00019,2000-01-02,2010-02-26,A1
46,ANTC,41713S001,-0.00222,0.00056,-0.01717,0.00126,0.0065,0.001,2010-02-28,2022-04-30,A2
47,AOML,49914S001,-0.01047,0.00051,0.0002,0.00162,0.00321,0.00083,2000-01-02,2003-08-09,A1
48,AOML,49914S001,-0.01046,0.00068,0.0002,0.0017,0.00321,0.00097,2003-08-10,2004-04-04,A2
49,AP01,42226M001,0.00604,0.00054,0.00113,0.00146,0.01232,0.0005,2016-02-28,2019-12-15,A1
50,AP01,42226M001,0.00604,0.00067,0.00113,0.00149,0.01232,0.00058,2019-12-16,2022-04-30,A2
